IDType,project,package,complextype,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_data_class
59,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,Fixture.RunTime,0,0,0,2,1,0,0,2,2,0,1,19,19,0,1,0,2,0,3,0.5,1,3,1.5,1.5,40,171,0,1752,182,2,60,0,254,243,2453,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,3,0,0,0,0,3,2,1,0,false
61,/mnt/qualitas/qualitas_corpus_compile/fitjava-1.1,fit,TypeAdapter.ClassByteAdapter,0,0,0,1,1,0,0,1,0,10,2,5,5,0,1,1,28,1,1,0,1,1,1,1,40,171,0,1752,182,2,60,0,254,243,2453,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,false
85,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,GrammerException,0,0,0,4,0,0,1,4,0,15,4,18,18,4,1,1,9,0,4,0,1,4,1,1,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,false
86,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,ParsingException,0,0,0,6,1,0,0,6,3,14,3,50,50,0,1,0,6,1,13,0.6,1,13,2.166667,2.166667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,6,1,0,5,false
87,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,SourceCodeParser,1,0,2,29,0,106,25,29,4,0,1,1371,1371,51,1,27,87,0,328,0.723214,1,328,11.310345,11.310345,8,100,1,2639,109,4,48,1,245,233,6694,0,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,false
88,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,JavaClassDumpper,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,28,12,0,47,0.481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,0,3,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,false
91,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,SourceCodeParser.OpcodeWrapper,0,0,0,2,0,0,1,2,1,0,2,14,14,1,1,1,3,0,2,1,0.666667,2,1,1,8,100,1,2639,109,4,48,1,245,233,6694,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,false
116,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.classes,Attribute_Code,0,0,2,2,0,0,1,2,8,0,2,76,76,1,1,2,3,0,2,1,0.2,2,1,1,32,46,0,1690,48,4,48,1,245,233,6694,0,8,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,false
134,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,0,0,0,2,0,0,0,2,0,11,2,15,15,0,0,4,21,0,2,0,1,2,1,1,2,5,0,44,5,11,58,2,541,326,7842,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,false
135,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,0,0,0,3,0,0,2,3,0,7,2,29,29,2,0,5,15,0,4,0,1,4,1.333333,1.333333,2,5,0,44,5,11,58,2,541,326,7842,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,false
136,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.web.example,PlainSwap,0,39,0,40,0,15,3,1,20,0,1,330,330,3,0.087179,9,58,0,40,0.971795,0.025,1,1,1,5,27,0,1293,138,11,58,2,541,326,7842,0,0,20,0,0,0,1,0,19,0,1,41,0,0,0,0,0,41,0,0,0,0,41,1,1,0,true
137,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.web.example,FloatPeriod,0,18,0,25,1,5,4,7,9,10,2,199,37,3,0.243333,7,40,0,25,0.898148,0.28,7,1,1,5,27,0,1293,138,11,58,2,541,326,7842,0,0,9,0,0,0,0,0,9,0,0,26,0,0,0,0,0,26,0,0,0,0,26,7,1,0,true
194,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,0,0,0,3,0,1,2,3,0,72,5,88,88,3,1,2,6,0,10,0,1,10,3.333333,3.333333,3,28,0,619,34,4,56,5,502,445,10835,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,false
195,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,1,6,0,30,0,0,1,24,11,0,1,518,390,1,0.261084,1,31,0,55,0.937304,0.8,42,1.833333,1.75,3,28,0,619,34,4,56,5,502,445,10835,0,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,false
196,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,SAXParser,0,0,0,1,0,0,1,1,0,75,4,13,13,1,1,1,2,0,1,0,1,1,1,1,3,28,0,619,34,4,56,5,502,445,10835,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,false
199,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,HTMLTagBalancer,2,9,3,47,0,19,11,38,48,0,1,1342,1264,30,0.49359,10,77,0,227,0.949275,0.709677,213,4.829787,5.605263,40,277,5,7963,322,4,56,5,502,445,10835,0,1,13,34,0,24,19,19,24,5,0,31,7,9,1,7,0,41,2,2,5,0,41,38,1,0,false
216,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,HTMLScanner,3,9,6,50,0,0,10,41,96,0,1,3600,3405,26,0.272895,5,80,0,296,0.980867,0.395349,256,5.92,6.243902,40,277,5,7963,322,4,56,5,502,445,10835,0,19,15,62,0,55,47,47,41,8,0,25,3,21,2,5,0,46,7,2,3,5,41,41,1,0,false
238,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,HTMLScanner.ContentScanner,1,0,0,18,0,61,9,18,2,0,1,1097,1097,36,0.269231,9,61,0,286,0.882353,1,286,15.888889,15.888889,40,277,5,7963,322,4,56,5,502,445,10835,0,0,2,0,0,2,0,0,0,2,0,2,5,12,0,0,0,19,0,0,0,0,19,18,1,0,false
241,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,HTMLScanner.LocationItem,2,7,0,11,1,0,0,4,6,0,1,112,64,0,0.361111,0,11,0,11,0.8,0.3,4,1,1,40,277,5,7963,322,4,56,5,502,445,10835,1,0,0,6,0,0,0,0,6,0,0,10,0,0,1,0,0,11,0,0,0,0,11,2,0,2,true
255,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove.benchmark,MemoryUsage,0,0,10,4,0,0,10,4,0,0,1,196,196,11,0,0,15,0,8,0,1,8,2,2,30,106,4,993,111,3,91,9,585,567,8432,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,false
256,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove.benchmark,MemoryUsage.MemoryComparator,0,0,0,2,0,0,1,2,3,0,1,26,26,2,1,2,4,0,2,0.5,1,2,1,1,30,106,4,993,111,3,91,9,585,567,8432,1,0,0,0,3,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,0,1,false
280,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove.benchmark,Result,0,4,0,11,1,0,0,7,4,0,1,107,67,0,0.418182,0,11,0,11,0.8,0.636364,7,1,1,30,106,4,993,111,3,91,9,585,567,8432,0,0,0,0,4,0,0,0,4,0,0,11,0,0,1,0,0,12,0,0,0,0,12,7,1,0,true
355,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,0,0,1,4,1,0,4,4,5,14,2,166,166,4,0.5,10,34,0,10,0.6,1,10,2.5,2.5,7,34,0,713,36,13,66,10,629,479,11929,0,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,false
356,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,com.opensymphony.oscache.plugins.clustersupport.JMSBroadcastingListener$1,1,0,0,1,0,2,1,1,0,0,1,34,34,1,1,3,2,?,6,0,?,6,6,6,7,34,0,713,36,13,66,10,629,479,11929,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,false
357,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JavaGroupsBroadcastingListener,1,0,0,7,1,0,3,7,8,14,2,167,167,4,0.714286,10,36,0,18,0.854167,1,18,2.571429,2.571429,7,34,0,713,36,13,66,10,629,479,11929,0,0,8,0,0,7,7,7,1,0,0,6,0,1,0,0,0,7,0,0,0,0,7,7,0,0,false
370,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,3,9,7,63,?,3,5,54,23,?,2,2005,1910,11,0.383503,3,77,3,244,0.953717,?,233,3.873016,4.314815,11,101,0,2259,113,13,66,10,629,479,11929,0,2,4,17,0,9,6,6,14,3,0,34,10,19,0,4,4,55,1,0,4,1,58,50,0,4,false
383,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.extra,CacheEntryEventListenerImpl,1,7,0,16,1,0,0,9,7,0,1,175,105,0,0.2,4,16,0,16,0.866667,0.5625,9,1,1,4,32,0,659,53,13,66,10,629,479,11929,0,0,7,0,0,0,0,0,7,0,0,16,0,0,0,0,0,16,0,0,0,0,16,8,0,1,true
395,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.base.events,CacheEntryEventType,0,0,0,1,0,0,0,1,6,0,1,38,38,0,1,0,1,0,1,0,0,1,1,1,11,31,4,509,45,13,66,10,629,479,11929,0,6,0,0,0,6,6,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,false
431,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.reg,Registry,0,0,1,11,0,0,1,11,1,0,1,146,146,1,0.622222,0,12,1,17,0.3,1,17,1.545455,1.545455,3,16,0,197,16,14,66,8,641,438,8425,0,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,false
432,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.reg,Registry.CmpArrays,1,0,0,1,0,0,0,1,0,0,1,42,42,0,1,0,1,0,7,0,1,7,7,7,3,16,0,197,16,14,66,8,641,438,8425,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,1,1,0,false
433,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.reg,QuiltRegistry,0,0,0,4,?,0,2,4,4,?,2,51,51,4,0,5,8,1,11,1,?,11,2.75,2.75,3,16,0,197,16,14,66,8,641,438,8425,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,1,2,1,0,0,1,0,3,3,0,1,false
434,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.reports,FmtSelector,0,9,0,12,1,0,1,3,7,0,1,164,79,0,0.30303,1,13,0,21,0.857143,0.25,11,1.75,3.666667,6,47,1,762,77,14,66,8,641,438,8425,0,0,7,0,0,0,2,0,5,0,2,13,0,0,0,0,0,13,0,0,0,0,13,3,1,0,true
447,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.cl,GraphTransformer,0,1,0,7,0,11,12,6,5,0,1,321,306,20,0.2,13,38,0,51,0.866667,0.75,48,7.285714,8,14,112,4,2893,139,14,66,8,641,438,8425,0,0,5,0,0,0,0,0,5,0,0,4,1,2,0,3,0,4,1,1,2,0,4,5,0,1,false
505,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,0,0,2,9,0,1,4,9,5,0,1,200,200,2,1,3,13,0,20,0.825,1,20,2.222222,2.222222,14,26,0,817,116,3,153,16,689,510,8378,0,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,false
506,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer$1,1,0,0,1,0,1,0,1,0,0,1,10,10,0,1,1,1,?,2,0,?,2,2,2,14,26,0,817,116,3,153,16,689,510,8378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,false
507,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,PrintXmlBean,0,3,0,4,0,0,0,1,2,0,1,25,7,0,0.333333,0,4,0,4,0.666667,0.25,1,1,1,14,26,0,817,116,3,153,16,689,510,8378,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,1,0,true
508,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,TableFrameXmlBean,0,8,0,8,0,0,0,0,4,0,1,47,47,0,0.142857,0,8,0,8,0.857143,0,0,1,0,14,26,0,817,116,3,153,16,689,510,8378,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,0,1,0,true
509,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,ZoomerXmlBean,0,6,0,8,0,0,0,2,4,0,1,47,11,0,0.142857,0,8,0,8,0.857143,0.25,2,1,1,14,26,0,817,116,3,153,16,689,510,8378,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,2,1,0,true
517,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,TableFrameControllerXmlBean,0,16,0,16,0,0,0,0,8,0,1,91,91,0,0.066667,3,16,0,16,0.933333,0,0,1,0,14,26,0,817,116,3,153,16,689,510,8378,0,0,8,0,0,0,0,0,8,0,0,17,0,0,0,0,0,17,0,0,0,0,17,0,1,0,true
674,/mnt/qualitas/qualitas_corpus_compile/jparse-0.96,jparse.expr,BooleanLiteralAST,0,0,0,5,0,0,2,5,0,45,6,29,29,2,0,9,18,0,5,0,1,5,1,1,26,159,0,2303,198,3,65,4,780,673,16524,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,5,4,0,1,false
675,/mnt/qualitas/qualitas_corpus_compile/jparse-0.96,jparse.expr,ParenthesizedAST,1,1,0,7,1,2,2,6,1,44,6,48,38,4,1,9,19,0,7,0.166667,0.75,6,1,1,26,159,0,2303,198,3,65,4,780,673,16524,0,0,1,0,0,0,0,0,1,0,0,4,0,3,0,0,0,7,0,0,0,0,7,5,0,1,false
676,/mnt/qualitas/qualitas_corpus_compile/jparse-0.96,jparse.expr,FloatLiteralAST,0,0,0,6,1,3,2,6,0,44,6,39,39,2,0,9,18,0,8,0,1,8,1.333333,1.333333,26,159,0,2303,198,3,65,4,780,673,16524,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,6,5,0,1,false
728,/mnt/qualitas/qualitas_corpus_compile/jparse-0.96,jparse,JavaLexer,2,0,0,66,0,0,0,66,5,51,2,1917,1917,0,0.007519,1,66,0,785,0.996923,0.919355,785,11.893939,11.893939,18,408,4,12655,440,3,65,4,780,673,16524,0,5,0,0,0,5,5,5,0,0,0,57,5,4,0,61,0,5,5,5,56,0,5,62,0,4,false
743,/mnt/qualitas/qualitas_corpus_compile/jmoney-0.4.4,net.sf.jmoney.io,MT940,1,0,2,7,0,13,6,7,6,0,1,301,301,8,0,6,23,0,48,1,1,48,6.857143,6.857143,7,41,1,928,41,4,190,3,713,563,9457,0,0,0,0,6,0,0,0,6,0,0,4,3,0,0,0,0,7,0,0,0,0,7,6,0,1,false
744,/mnt/qualitas/qualitas_corpus_compile/jmoney-0.4.4,net.sf.jmoney.io,MT940.CanceledException,0,0,0,2,0,0,0,2,0,15,3,8,8,0,1,0,2,0,2,0,1,2,1,1,7,41,1,928,41,4,190,3,713,563,9457,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,false
745,/mnt/qualitas/qualitas_corpus_compile/jmoney-0.4.4,net.sf.jmoney.io,MT940.MT940FileFilter,0,0,0,2,0,0,0,2,0,2,2,12,12,0,0,0,2,0,4,0,1,4,2,2,7,41,1,928,41,4,190,3,713,563,9457,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,false
747,/mnt/qualitas/qualitas_corpus_compile/jmoney-0.4.4,net.sf.jmoney.io,QIF,1,0,3,22,0,25,15,22,4,0,1,603,603,21,0.333333,15,69,0,114,0.964286,1,114,5.181818,5.181818,7,41,1,928,41,4,190,3,713,563,9457,0,0,0,0,4,0,2,0,2,0,2,4,18,0,0,0,0,22,0,0,0,0,22,21,0,1,false
792,/mnt/qualitas/qualitas_corpus_compile/jmoney-0.4.4,net.sf.jmoney.gui,MainFrame,1,2,9,33,0,29,28,31,36,531,6,1043,1015,46,0.3,23,104,0,70,0.94184,1,68,2.121212,2.193548,153,385,0,6579,454,4,190,3,713,563,9457,0,0,0,0,36,0,0,0,36,0,0,4,27,2,0,0,0,33,0,0,0,0,33,30,0,1,false
