IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,isStatic_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,isStatic_method,is_feature_envy
532,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,GrammerException,'GrammerException(int,int,String)',3,0,0,0,0,1,3,1,0,3,0,3,0,1,1,0,0,1,0,1,0,0,0,4,0,0,1,4,0,15,4,18,18,4,1,0,1,9,0,4,0,1,4,1,1,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,false
548,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethod(),0,0,10,3,0,3,33,6,0,6,0,23,0.294118,5,6,5,3,6,0,0.833333,1,0,2,29,0,106,25,29,4,0,1,1371,1371,51,1,0,27,87,0,328,0.723214,1,328,11.310345,11.310345,8,100,1,2639,109,4,48,1,245,233,6694,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,0,true
549,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,SourceCodeParser,'parseMethodAttributes(Method,ArrayList,SourceCodeParser.LabeledInstructions,Attribute_Code,ArrayList)',5,0,9,2,0,4,48,10,0,6,0,17,0.166667,1,3,2,6,3,0,0.333333,1,0,2,29,0,106,25,29,4,0,1,1371,1371,51,1,0,27,87,0,328,0.723214,1,328,11.310345,11.310345,8,100,1,2639,109,4,48,1,245,233,6694,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,0,true
551,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethodInstructions(Method),1,0,56,2,0,6,523,139,0,25,0,105,0.3,7,19,24,6,19,0,0.368421,1,0,2,29,0,106,25,29,4,0,1,1371,1371,51,1,0,27,87,0,328,0.723214,1,328,11.310345,11.310345,8,100,1,2639,109,4,48,1,245,233,6694,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,0,true
755,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,'toString(Attribute_Code,HashSet)',2,0,83,8,0,6,257,75,0,16,0,101,0.023529,3,5,2,4,5,0,0.6,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666667,1,213,6.870968,6.870968,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,true
777,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isWeekend(Calendar),1,0,0,0,0,1,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,11,2,15,15,0,0,0,4,21,0,2,0,1,2,1,1,2,5,0,44,5,11,58,2,541,326,7842,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,false
778,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isHoliday(Calendar),1,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,11,2,15,15,0,0,0,4,21,0,2,0,1,2,1,1,2,5,0,44,5,11,58,2,541,326,7842,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,false
782,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getAvailableLocales(),0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,7,2,29,29,2,0,0,5,15,0,4,0,1,4,1.333333,1.333333,2,5,0,44,5,11,58,2,541,326,7842,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,false
783,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date.web.example,PlainSwap,getCurrency(),0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,39,0,40,0,15,3,1,20,0,1,330,330,3,0.087179,0,9,58,0,40,0.971795,0.025,1,1,1,5,27,0,1293,138,11,58,2,541,326,7842,0,20,0,0,0,1,0,19,0,1,41,0,0,0,0,0,41,0,0,0,0,41,1,1,0,0,false
1185,/mnt/qualitas/qualitas_corpus_compile/jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,'generateSchedule(Calendar,Calendar,int,int,StubType,Period,int)',7,0,9,2,0,5,176,23,0,18,0,32,0.1,3,3,1,2,7,0,0.428571,0,0,0,18,0,13,5,18,1,0,1,538,538,5,0.784314,0,6,31,0,45,1,1,45,2.5,2.5,10,60,1,1447,77,11,58,2,541,326,7842,0,1,0,0,0,1,0,0,0,1,18,0,0,0,0,0,18,18,0,0,18,0,18,0,0,1,true
1341,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,DOMParser(),0,0,0,0,0,2,18,3,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,3,0,1,2,3,0,72,5,88,88,3,1,0,2,6,0,10,0,1,10,3.333333,3.333333,3,28,0,619,34,4,56,5,502,445,10835,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,0,false
1342,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,'doctypeDecl(String,String,String,Augmentations)',4,0,1,1,0,2,27,4,0,6,0,7,0,1,2,0,1,2,0,0.5,0,0,0,3,0,1,2,3,0,72,5,88,88,3,1,0,2,6,0,10,0,1,10,3.333333,3.333333,3,28,0,619,34,4,56,5,502,445,10835,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,0,false
1343,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,getParserSubVersion(),0,0,1,1,0,3,12,3,0,4,0,4,0,1,2,0,0,2,0,0.5,0,0,0,3,0,1,2,3,0,72,5,88,88,3,1,0,2,6,0,10,0,1,10,3.333333,3.333333,3,28,0,619,34,4,56,5,502,445,10835,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,1,false
1344,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,DOMFragmentParser(),0,0,0,0,0,1,7,1,0,0,0,4,1,1,1,4,0,1,0,1,1,6,0,30,0,0,1,24,11,0,1,518,390,1,0.261084,0,1,31,0,55,0.937304,0.8,42,1.833333,1.75,3,28,0,619,34,4,56,5,502,445,10835,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,0,false
1345,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,'parse(String,DocumentFragment)',2,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,1,0,0,0,1,6,0,30,0,0,1,24,11,0,1,518,390,1,0.261084,0,1,31,0,55,0.937304,0.8,42,1.833333,1.75,3,28,0,619,34,4,56,5,502,445,10835,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,0,false
1346,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,'parse(InputSource,DocumentFragment)',2,0,0,0,0,3,30,3,0,10,0,14,1,0,0,4,0,0,0,0,1,6,0,30,0,0,1,24,11,0,1,518,390,1,0.261084,0,1,31,0,55,0.937304,0.8,42,1.833333,1.75,3,28,0,619,34,4,56,5,502,445,10835,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,0,false
1428,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,HTMLTagBalancer,'startElement(QName,XMLAttributes,Augmentations)',3,0,15,2,0,7,206,60,0,19,0,52,0.428571,5,11,15,12,11,0,0.454545,2,9,3,47,0,19,11,38,48,0,1,1342,1264,30,0.49359,1,10,77,0,227,0.949275,0.709677,213,4.829787,5.605263,40,277,5,7963,322,4,56,5,502,445,10835,0,13,34,0,24,19,19,24,5,0,31,7,9,1,7,0,41,2,2,5,0,41,38,1,0,0,true
1526,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,ObjectFactory,'createObject(String,String,String)',3,0,0,0,0,7,111,21,0,17,0,18,1,2,6,4,4,6,0,0.333333,0,0,1,7,0,0,2,7,5,0,1,469,469,10,0.3,0,1,17,0,54,0.9,0,54,7.714286,7.714286,40,277,5,7963,322,4,56,5,502,445,10835,0,5,0,0,3,5,3,0,0,2,0,2,0,5,0,0,7,7,0,0,7,0,7,0,0,1,false
1643,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,HTMLConfiguration,setInputSource(XMLInputSource),1,0,19,1,0,1,7,2,0,1,0,32,0.095238,1,0,2,1,1,0,1,1,15,1,24,0,22,8,9,26,8,2,624,488,13,0.177866,0,9,41,0,52,0.989967,0.285714,28,2.166667,3.111111,40,277,5,7963,322,4,56,5,502,445,10835,0,1,25,0,16,14,11,7,5,3,21,0,3,0,0,0,24,0,0,0,0,24,8,0,1,0,true
1676,/mnt/qualitas/qualitas_corpus_compile/nekohtml-1.9.14,org.cyberneko.html,HTMLScanner.ContentScanner,scan(boolean),1,0,33,5,0,7,142,42,0,12,0,51,0,7,16,0,9,21,0,0.333333,1,0,0,18,0,61,9,18,2,0,1,1097,1097,36,0.269231,0,9,61,0,286,0.882353,1,286,15.888889,15.888889,40,277,5,7963,322,4,56,5,502,445,10835,0,2,0,0,2,0,0,0,2,0,2,5,12,0,0,0,19,0,0,0,0,19,18,1,0,0,true
1866,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove.benchmark,MemoryUsage,sizeOf(MemoryUsage.Creator),1,1,0,0,1,3,18,3,0,9,0,9,0,1,1,0,1,1,0,1,0,0,10,4,0,0,10,4,0,0,1,196,196,11,0,0,0,15,0,8,0,1,8,2,2,30,106,4,993,111,3,91,9,585,567,8432,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,false
1867,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove.benchmark,MemoryUsage,getUsedMemory(),0,0,0,0,0,1,8,1,0,3,0,3,0,0,0,0,1,0,0,0,0,0,10,4,0,0,10,4,0,0,1,196,196,11,0,0,0,15,0,8,0,1,8,2,2,30,106,4,993,111,3,91,9,585,567,8432,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,false
1868,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove.benchmark,MemoryUsage,gc(),0,1,0,0,1,2,14,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,4,0,0,10,4,0,0,1,196,196,11,0,0,0,15,0,8,0,1,8,2,2,30,106,4,993,111,3,91,9,585,567,8432,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,false
1869,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove.benchmark,MemoryUsage,main(String[]),1,0,0,0,0,2,31,2,0,6,0,5,0,9,10,0,0,10,0,0.9,0,0,10,4,0,0,10,4,0,0,1,196,196,11,0,0,0,15,0,8,0,1,8,2,2,30,106,4,993,111,3,91,9,585,567,8432,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,false
2225,/mnt/qualitas/qualitas_corpus_compile/trove-2.1.0,gnu.trove,TLinkedList.IteratorImpl,IteratorImpl(int),1,1,5,2,1,3,22,8,0,2,0,7,0,1,2,0,0,2,0,0.5,1,1,0,11,0,6,3,10,3,0,1,197,170,6,0,0,3,18,0,29,1,0.888889,25,2.636364,2.5,59,451,5,7010,464,3,91,9,585,567,8432,0,3,0,0,0,0,0,3,0,0,9,1,0,1,9,0,2,0,0,9,0,2,9,0,1,0,true
2495,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,'initialize(Cache,Config)',2,0,0,0,0,5,79,3,0,10,0,15,1,4,4,5,1,4,0,1,0,0,1,4,1,0,4,4,5,14,2,166,166,4,0.5,0,10,34,0,10,0.6,1,10,2.5,2.5,7,34,0,713,36,13,66,10,629,479,11929,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,false
2496,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,finialize(),0,0,0,0,0,3,15,4,0,1,0,3,1,0,0,2,0,0,0,0,0,0,1,4,1,0,4,4,5,14,2,166,166,4,0.5,0,10,34,0,10,0.6,1,10,2.5,2.5,7,34,0,713,36,13,66,10,629,479,11929,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,false
2497,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,sendNotification(ClusterNotification),1,0,0,0,0,2,12,2,0,3,0,7,1,0,0,4,0,0,0,0,0,0,1,4,1,0,4,4,5,14,2,166,166,4,0.5,0,10,34,0,10,0.6,1,10,2.5,2.5,7,34,0,713,36,13,66,10,629,479,11929,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,false
2498,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,getInitialContext(),0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,4,4,5,14,2,166,166,4,0.5,0,10,34,0,10,0.6,1,10,2.5,2.5,7,34,0,713,36,13,66,10,629,479,11929,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,false
2499,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,com.opensymphony.oscache.plugins.clustersupport.JMSBroadcastingListener$1,onMessage(Message),1,0,2,1,0,3,32,6,0,4,0,6,0,1,1,0,0,1,0,1,1,0,0,1,0,2,1,1,0,0,1,34,34,1,1,0,3,2,?,6,0,?,6,6,6,7,34,0,713,36,13,66,10,629,479,11929,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,false
2656,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,'put(Object,Object,boolean)',3,0,0,0,0,6,134,22,0,10,0,20,0.636364,1,1,7,13,1,0,1,3,9,7,63,?,3,5,54,23,?,2,2005,1910,11,0.383503,2,3,77,3,244,0.953717,?,233,3.873016,4.314815,11,101,0,2259,113,13,66,10,629,479,11929,0,4,17,0,9,6,6,14,3,0,34,10,19,0,4,4,55,1,0,4,1,58,50,0,4,0,false
2657,/mnt/qualitas/qualitas_corpus_compile/oscache-2.4.1,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,'remove(Object,boolean,boolean)',3,0,3,1,0,6,122,24,0,12,0,25,0.5,2,1,7,10,4,0,0.5,3,9,7,63,?,3,5,54,23,?,2,2005,1910,11,0.383503,2,3,77,3,244,0.953717,?,233,3.873016,4.314815,11,101,0,2259,113,13,66,10,629,479,11929,0,4,17,0,9,6,6,14,3,0,34,10,19,0,4,4,55,1,0,4,1,58,50,0,4,0,false
3133,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.reg,Registry,comparator(),0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,11,0,0,1,11,1,0,1,146,146,1,0.622222,0,0,12,1,17,0.3,1,17,1.545455,1.545455,3,16,0,197,16,14,66,8,641,438,8425,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,false
3134,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.reg,Registry,containsKey(String[]),1,0,0,0,0,2,6,2,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,11,0,0,1,11,1,0,1,146,146,1,0.622222,0,0,12,1,17,0.3,1,17,1.545455,1.545455,3,16,0,197,16,14,66,8,641,438,8425,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,false
3135,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.reg,Registry,get(String[]),1,1,0,0,4,2,10,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,11,0,0,1,11,1,0,1,146,146,1,0.622222,0,0,12,1,17,0.3,1,17,1.545455,1.545455,3,16,0,197,16,14,66,8,641,438,8425,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,false
3291,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.cl,GraphTransformer,'makeGraph(ClassGen,MethodGen)',2,0,10,5,0,6,181,29,0,24,0,40,0.166667,9,15,2,1,24,0,0.375,0,1,0,7,0,11,12,6,5,0,1,321,306,20,0.2,0,13,38,0,51,0.866667,0.75,48,7.285714,8,14,112,4,2893,139,14,66,8,641,438,8425,0,5,0,0,0,0,0,5,0,0,4,1,2,0,3,0,4,1,1,2,0,4,5,0,1,0,true
3626,/mnt/qualitas/qualitas_corpus_compile/quilt-0.6-a-5,org.quilt.cover.stmt,GraphAction.LampLighter,discoverEdge(Edge),1,0,14,6,0,8,110,20,1,15,2,33,0.066667,7,6,1,0,18,2,0.388889,3,0,0,7,0,14,7,7,1,0,1,130,130,6,0.066667,0,9,25,0,26,0.833333,1,26,3.714286,3.714286,8,45,0,1008,55,14,66,8,641,438,8425,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,7,0,0,0,0,7,6,0,1,0,true
3776,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,'GraphXmlSerializer(GraphPlugin,ISession,GraphMainPanelTab,String)',4,1,1,1,1,3,22,3,0,6,0,10,0.75,1,0,3,1,1,0,1,0,0,2,9,0,1,4,9,5,0,1,200,200,2,1,0,3,13,0,20,0.825,1,20,2.222222,2.222222,14,26,0,817,116,3,153,16,689,510,8378,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,0,false
3777,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,write(GraphControllerXmlBean),1,1,1,1,1,2,18,2,0,5,0,9,0.75,1,0,3,0,1,0,1,0,0,2,9,0,1,4,9,5,0,1,200,200,2,1,0,3,13,0,20,0.825,1,20,2.222222,2.222222,14,26,0,817,116,3,153,16,689,510,8378,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,0,false
3778,/mnt/qualitas/qualitas_corpus_compile/squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,read(),0,1,0,0,1,2,13,2,0,2,0,3,1,0,0,1,0,0,0,0,0,0,2,9,0,1,4,9,5,0,1,200,200,2,1,0,3,13,0,20,0.825,1,20,2.222222,2.222222,14,26,0,817,116,3,153,16,689,510,8378,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,0,false
